Date,Company,Price,Final Score,Article URL,Sentiment Score,Positive Mentions,Negative Mentions
2025-07-19,台積電,1155.0,11.0,https://tw.stock.yahoo.com/news/%E6%AC%8A%E7%8E%8B%E9%A0%98%E6%BC%B2-0050%E5%86%8D%E7%B7%A0%E6%96%B0%E7%8C%B7-201000055.html,11.0,0,0
2025-07-19,台積電,1155.0,13.0,https://tw.stock.yahoo.com/news/%E5%8F%B0%E8%82%A1-%E7%A9%8D-%E6%83%85%E5%9B%9B%E5%B0%84-%E5%8D%8A%E5%B0%8E%E9%AB%94etf%E6%9C%89-%E5%9F%BA-213718528.html,13.0,3,0
2025-07-19,台積電,1155.0,0.0,https://tw.stock.yahoo.com/news/%E7%BE%8E%E8%82%A1-%E8%A7%80%E6%9C%9B%E7%BE%8E%E4%BC%81%E8%B2%A1%E5%A0%B1-%E5%B7%9D%E6%99%AE%E9%97%9C%E7%A8%85-%E9%81%93%E7%93%8A%E8%B7%8C142%E9%BB%9E-%E7%89%B9%E6%96%AF%E6%8B%89%E5%BC%B7%E6%BC%B2%E9%80%BE3-001432519.html?bcmt=1,0.0,1,2
2025-07-19,台積電,1155.0,1.38,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BBq2%E5%BE%88%E5%BC%B7%E4%BD%86%E9%AD%94%E9%AC%BC%E8%97%8F%E5%9C%A8%E7%B4%B0%E7%AF%80%E8%A3%A1-%E6%B3%95%E8%AA%AA%E6%9C%83%E9%9A%B1%E6%86%82%E6%98%AFq2%E5%8C%AF%E7%8E%87%E7%94%A831%E4%BE%86%E7%AE%97-062748969.html,1.38,1,0
2025-07-19,台積電,1155.0,-0.4,https://tw.stock.yahoo.com/news/%E7%BE%8E%E6%AD%90%E9%97%9C%E7%A8%85%E8%AB%87%E5%88%A4%E5%8D%A1%E9%97%9C-%E7%BE%8E%E8%82%A1%E9%81%93%E7%93%8A%E8%B7%8C142%E9%BB%9E-%E5%8F%B0%E7%A9%8D%E9%9B%BBadr%E8%B7%8C2-15-235916903.html,-0.4,0,3
2025-07-19,台積電,1155.0,1.75,https://tw.stock.yahoo.com/news/%E9%8C%A2%E6%BD%AE%E6%B9%A7%E7%8F%BE-%E6%96%B0%E5%8F%B0%E5%B9%A3%E5%BC%B7%E5%8D%87-%E9%99%8D%E6%81%AF%E9%A0%90%E6%9C%9F-%E5%8F%B0%E7%A9%8D%E9%9B%BB-%E5%8F%B0%E9%9B%BB%E7%8B%82%E7%99%BC%E5%82%B5%E6%90%B6%E8%B3%87%E9%87%91-001500025.html?bcmt=1,1.75,1,0
2025-07-19,台積電,1155.0,0.0,https://tw.stock.yahoo.com/news/%E6%9C%80%E5%BE%8C%E8%B2%B7%E9%80%B2%E6%97%A5%E5%85%A8%E8%B7%91%E5%85%89-%E5%A4%96%E8%B3%87%E7%88%86%E7%A0%8D0050-3%E5%A4%A9%E5%9B%9E%E6%94%B639%E5%84%84-%E9%80%99%E6%AA%94%E4%BA%BA%E6%B0%A3etf%E5%90%8C%E6%AD%A5%E5%A4%B1%E5%AF%B5-%E7%B6%B2-103000478.html,0.0,1,0
2025-07-19,台積電,1155.0,0.0,https://tw.stock.yahoo.com/news/20%E6%AD%B2%E5%A4%A7%E5%AD%B8%E7%94%9F%E8%A9%B2%E8%AE%80%E4%BB%80%E9%BA%BC-%E9%BB%83%E4%BB%81%E5%8B%B3%E9%81%B8-1%E7%A7%91%E7%B3%BB-%E4%B8%8D%E6%98%AF%E8%BB%9F%E9%AB%94%E6%88%96%E9%9B%BB%E6%A9%9F-230530411.html?bcmt=1,0.0,2,0
2025-07-19,台積電,1155.0,-2.0,https://tw.stock.yahoo.com/news/%E7%BE%8E%E8%82%A1-%E6%94%B6%E7%9B%A4%E9%80%9F%E5%A0%B1-%E6%A8%99%E6%99%AE%E8%BF%91%E6%94%B6%E5%B9%B3-%E6%9C%AC%E5%91%A8%E7%A7%91%E6%8A%80%E8%82%A1%E4%BA%BA%E6%B0%A3%E6%97%BA-011107390.html?bcmt=1,-2.0,1,23
2025-07-19,台積電,1155.0,4.0,https://tw.stock.yahoo.com/news/%E9%80%9A%E5%90%83h20%E6%99%B6%E7%89%87%E5%8F%8Ami308-%E5%A4%96%E8%B3%87%E7%8B%82%E6%95%B2%E9%80%99%E6%AA%94%E8%80%81ai%E4%B8%8A%E8%90%AC%E5%BC%B5-%E5%A4%A7%E8%B2%B7%E5%8F%B0%E7%A9%8D%E9%9B%BB223%E5%84%84-%E7%B6%B2%E9%A9%9A-%E9%80%99%E7%A8%AE%E8%B2%B7%E6%B3%95%E5%A4%AA%E5%8F%AF%E6%80%95-000000579.html?bcmt=1,4.0,1,0
2025-07-19,台積電,1155.0,11.75,https://tw.stock.yahoo.com/news/%E6%B3%95%E4%BA%BA%E7%9C%8B%E5%A5%BDq3%E5%A4%96%E8%B3%87%E6%AD%B8%E9%9A%8A%E9%87%8D%E5%95%9F%E6%8B%89-%E7%A9%8D-%E7%9B%A4-%E5%8D%8A%E5%B0%8E%E9%AB%94etf%E6%A8%82%E8%BF%8E%E6%9C%89%E5%9F%BA%E4%B9%8B%E5%BD%88-102018184.html,11.75,3,0
2025-07-19,台積電,1155.0,0.0,https://tw.stock.yahoo.com/news/%E7%BE%8E%E8%82%A1-%E8%A7%80%E6%9C%9B%E7%BE%8E%E4%BC%81%E8%B2%A1%E5%A0%B1-%E5%B7%9D%E6%99%AE%E9%97%9C%E7%A8%85-%E9%81%93%E7%93%8A%E8%B7%8C142%E9%BB%9E-%E7%89%B9%E6%96%AF%E6%8B%89%E5%BC%B7%E6%BC%B2%E9%80%BE3-001432519.html,0.0,1,2
2025-07-19,台積電,1155.0,0.0,https://tw.news.yahoo.com/%E5%9C%8B%E9%9A%9B%E7%9B%A4%E5%8B%A2-%E5%B7%9D%E6%99%AE%E9%97%9C%E7%A8%85%E5%82%B3%E8%81%9E%E5%86%8D%E7%8F%BE%E7%BE%8E%E8%82%A1%E6%94%B6%E9%BB%91-%E4%BA%9E%E6%B4%B2%E8%82%A1%E5%B8%82%E9%80%B1-%E9%96%8B%E7%9B%A4%E5%81%8F%E4%BF%9D%E5%AE%88-010600243.html?bcmt=1,0.0,0,2
